fold,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_auprc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_auprc
1,0.6698237885462555,0.6309887869520897,0.8180616740088106,0.7124496451179743,0.7977110947233595,0.847667580347498,0.6662995594713657,0.626720375965089,0.822466960352423,0.7113735949704706,0.8000962564769353,0.8535916485377278
2,0.5693832599118943,0.5422365245374094,0.8907488986784141,0.6741123520586765,0.8054783714025111,0.8555163354407836,0.5552863436123348,0.5333156357844439,0.885022026431718,0.6655623654132847,0.7997129771584932,0.8516269053645025
3,0.6781938325991189,0.6384799726121191,0.8215859030837004,0.7185513388557118,0.8087247957460847,0.8568433538604809,0.6740088105726872,0.639280677009873,0.7986784140969163,0.7101449275362319,0.788920704845815,0.8447716494594886
4,0.6022026431718062,0.5654627539503386,0.8828193832599119,0.6893704850361198,0.8147542160725029,0.8629928470109307,0.5819383259911894,0.5499462943071965,0.9022026431718062,0.68335001668335,0.81844349783617,0.8659610571343501
5,0.6561674008810573,0.6221150533930416,0.7955947136563877,0.6982408660351827,0.7780143220322537,0.8365270778034909,0.6488986784140969,0.6137281292059219,0.8035242290748899,0.6959175887066006,0.7855128180248017,0.8432725376827506
