accuracy,loss,val_accuracy,val_loss
0.8109614253044128,0.40484854578971863,0.8978328108787537,0.2595318853855133
0.901532769203186,0.23636075854301453,0.9267286062240601,0.19194920361042023
0.9286783337593079,0.17598938941955566,0.937667727470398,0.15871089696884155
0.9427672028541565,0.14738799631595612,0.946749210357666,0.13854515552520752
0.9496825933456421,0.1263698786497116,0.9486067891120911,0.13050617277622223
0.956546425819397,0.11141835153102875,0.9566563367843628,0.12158975005149841
0.9631521701812744,0.09584745764732361,0.95686274766922,0.12123772501945496
0.9660422205924988,0.08993715047836304,0.9593394994735718,0.12403638660907745
0.9698611497879028,0.08284009248018265,0.95686274766922,0.11959544569253922
0.969499945640564,0.07764642685651779,0.9539731740951538,0.12799236178398132
0.9735252857208252,0.07429036498069763,0.9597523212432861,0.1134500578045845
0.9753316044807434,0.06739052385091782,0.9566563367843628,0.1257753223180771
0.9766733646392822,0.06389358639717102,0.958720326423645,0.12213864177465439
0.9780151844024658,0.061713650822639465,0.9589267373085022,0.11863627284765244
0.9819373488426208,0.052827466279268265,0.9591331481933594,0.1269710510969162
0.9808536171913147,0.05319886654615402,0.9603714942932129,0.11971359699964523
