accuracy,loss,val_accuracy,val_loss
0.8099390864372253,0.41025683283805847,0.8934984803199768,0.2600231170654297
0.903756856918335,0.23566444218158722,0.9263157844543457,0.19203677773475647
0.9268242120742798,0.18052183091640472,0.9374613165855408,0.17137183248996735
0.9444730877876282,0.14673690497875214,0.9477812051773071,0.14599010348320007
0.9534523487091064,0.12281934171915054,0.94757479429245,0.1461227685213089
0.9577355980873108,0.11226876825094223,0.9492260217666626,0.13948370516300201
0.9619155526161194,0.10051650553941727,0.9517027735710144,0.14075009524822235
0.9673340916633606,0.09243093430995941,0.9525283575057983,0.13365282118320465
0.9688306450843811,0.0832279622554779,0.9514963626861572,0.13833007216453552
0.971410870552063,0.07674778997898102,0.9537667632102966,0.1318076252937317
0.9734234809875488,0.07199983298778534,0.9543859362602234,0.13279558718204498
0.9755908846855164,0.06613848358392715,0.9609907269477844,0.13135592639446259
0.9781194925308228,0.06233292073011398,0.9562435746192932,0.1311330646276474
0.9795128703117371,0.057461705058813095,0.9539731740951538,0.1335415095090866
0.9797708988189697,0.057600706815719604,0.9605779051780701,0.12112123519182205
0.9815770387649536,0.05270294100046158,0.9576883316040039,0.13086245954036713
0.9830219745635986,0.04920627921819687,0.9574819207191467,0.14028878509998322
0.9802353382110596,0.051020991057157516,0.9581011533737183,0.13120664656162262
0.9817318320274353,0.04993598163127899,0.958720326423645,0.12582360208034515
0.984208881855011,0.04578850790858269,0.9550051689147949,0.14201347529888153
