fold,accuracy,precision,recall,f1,roc_auc
1,0.9666446499339498,0.9654150197628458,0.9679656538969617,0.966688654353562,0.9936637181113656
2,0.9638375165125496,0.9582381729200653,0.9699471598414795,0.9640571147218119,0.993020339447412
3,0.9544253632760898,0.941025641025641,0.9696169088507266,0.9551073519843851,0.9901135199607712
4,0.9578860445912469,0.9491415613864593,0.9676354029062088,0.9582992641046607,0.9910832232496697
5,0.9598678777869529,0.9540117416829745,0.9663032705649157,0.9601181683899557,0.9919872948832589
